00001 A00     0 Cholera                                                      Cholera
47563 S52361J 1 Displ seg fx shaft of rad, r arm, 7thJ                       Displaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
47564 S52361K 1 Displ seg fx shaft of rad, r arm, 7thK                       Displaced segmental fracture of shaft of radius, right arm, subsequent encounter for closed fracture with nonunion
47565 S52361M 1 Displ seg fx shaft of rad, r arm, 7thM                       Displaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with nonunion
47566 S52361N 1 Displ seg fx shaft of rad, r arm, 7thN                       Displaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
47567 S52361P 1 Displ seg fx shaft of rad, r arm, 7thP                       Displaced segmental fracture of shaft of radius, right arm, subsequent encounter for closed fracture with malunion
47568 S52361Q 1 Displ seg fx shaft of rad, r arm, 7thQ                       Displaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with malunion
47569 S52361R 1 Displ seg fx shaft of rad, r arm, 7thR                       Displaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
47570 S52361S 1 Displaced segmental fx shaft of radius, right arm, sequela   Displaced segmental fracture of shaft of radius, right arm, sequela
47571 S52362  0 Displaced segmental fracture of shaft of radius, left arm    Displaced segmental fracture of shaft of radius, left arm
47572 S52362A 1 Displaced segmental fx shaft of radius, left arm, init       Displaced segmental fracture of shaft of radius, left arm, initial encounter for closed fracture
47573 S52362B 1 Displ seg fx shaft of rad, l arm, init for opn fx type I/2   Displaced segmental fracture of shaft of radius, left arm, initial encounter for open fracture type I or II
47574 S52362C 1 Displ seg fx shaft of rad, l arm, 7thC                       Displaced segmental fracture of shaft of radius, left arm, initial encounter for open fracture type IIIA, IIIB, or IIIC
47575 S52362D 1 Displ seg fx shaft of rad, l arm, 7thD                       Displaced segmental fracture of shaft of radius, left arm, subsequent encounter for closed fracture with routine healing
47576 S52362E 1 Displ seg fx shaft of rad, l arm, 7thE                       Displaced segmental fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with routine healing
47577 S52362F 1 Displ seg fx shaft of rad, l arm, 7thF                       Displaced segmental fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
47578 S52362G 1 Displ seg fx shaft of rad, l arm, 7thG                       Displaced segmental fracture of shaft of radius, left arm, subsequent encounter for closed fracture with delayed healing
47579 S52362H 1 Displ seg fx shaft of rad, l arm, 7thH                       Displaced segmental fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with delayed healing
47580 S52362J 1 Displ seg fx shaft of rad, l arm, 7thJ                       Displaced segmental fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
47581 S52362K 1 Displ seg fx shaft of rad, l arm, 7thK                       Displaced segmental fracture of shaft of radius, left arm, subsequent encounter for closed fracture with nonunion
47582 S52362M 1 Displ seg fx shaft of rad, l arm, 7thM                       Displaced segmental fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with nonunion
47583 S52362N 1 Displ seg fx shaft of rad, l arm, 7thN                       Displaced segmental fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
47584 S52362P 1 Displ seg fx shaft of rad, l arm, 7thP                       Displaced segmental fracture of shaft of radius, left arm, subsequent encounter for closed fracture with malunion
47585 S52362Q 1 Displ seg fx shaft of rad, l arm, 7thQ                       Displaced segmental fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with malunion
47586 S52362R 1 Displ seg fx shaft of rad, l arm, 7thR                       Displaced segmental fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
47587 S52362S 1 Displaced segmental fx shaft of radius, left arm, sequela    Displaced segmental fracture of shaft of radius, left arm, sequela
47588 S52363  0 Displaced segmental fracture of shaft of radius, unsp arm    Displaced segmental fracture of shaft of radius, unspecified arm
47589 S52363A 1 Displaced segmental fx shaft of radius, unsp arm, init       Displaced segmental fracture of shaft of radius, unspecified arm, initial encounter for closed fracture
47590 S52363B 1 Displ seg fx shaft of rad, unsp arm, 7thB                    Displaced segmental fracture of shaft of radius, unspecified arm, initial encounter for open fracture type I or II
47591 S52363C 1 Displ seg fx shaft of rad, unsp arm, 7thC                    Displaced segmental fracture of shaft of radius, unspecified arm, initial encounter for open fracture type IIIA, IIIB, or IIIC
47592 S52363D 1 Displ seg fx shaft of rad, unsp arm, 7thD                    Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with routine healing
47593 S52363E 1 Displ seg fx shaft of rad, unsp arm, 7thE                    Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with routine healing
47594 S52363F 1 Displ seg fx shaft of rad, unsp arm, 7thF                    Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
47595 S52363G 1 Displ seg fx shaft of rad, unsp arm, 7thG                    Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with delayed healing
47596 S52363H 1 Displ seg fx shaft of rad, unsp arm, 7thH                    Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with delayed healing
47597 S52363J 1 Displ seg fx shaft of rad, unsp arm, 7thJ                    Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
47598 S52363K 1 Displ seg fx shaft of rad, unsp arm, 7thK                    Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with nonunion
47599 S52363M 1 Displ seg fx shaft of rad, unsp arm, 7thM                    Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with nonunion
47600 S52363N 1 Displ seg fx shaft of rad, unsp arm, 7thN                    Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
47601 S52363P 1 Displ seg fx shaft of rad, unsp arm, 7thP                    Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with malunion
47602 S52363Q 1 Displ seg fx shaft of rad, unsp arm, 7thQ                    Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with malunion
47603 S52363R 1 Displ seg fx shaft of rad, unsp arm, 7thR                    Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
47604 S52363S 1 Displaced segmental fx shaft of radius, unsp arm, sequela    Displaced segmental fracture of shaft of radius, unspecified arm, sequela
47605 S52364  0 Nondisp segmental fracture of shaft of radius, right arm     Nondisplaced segmental fracture of shaft of radius, right arm
47606 S52364A 1 Nondisp segmental fx shaft of radius, right arm, init        Nondisplaced segmental fracture of shaft of radius, right arm, initial encounter for closed fracture
47607 S52364B 1 Nondisp seg fx shaft of rad, r arm, init for opn fx type I/2 Nondisplaced segmental fracture of shaft of radius, right arm, initial encounter for open fracture type I or II
47608 S52364C 1 Nondisp seg fx shaft of rad, r arm, 7thC                     Nondisplaced segmental fracture of shaft of radius, right arm, initial encounter for open fracture type IIIA, IIIB, or IIIC
47609 S52364D 1 Nondisp seg fx shaft of rad, r arm, 7thD                     Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for closed fracture with routine healing
47610 S52364E 1 Nondisp seg fx shaft of rad, r arm, 7thE                     Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with routine healing
47611 S52364F 1 Nondisp seg fx shaft of rad, r arm, 7thF                     Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
47612 S52364G 1 Nondisp seg fx shaft of rad, r arm, 7thG                     Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for closed fracture with delayed healing
47613 S52364H 1 Nondisp seg fx shaft of rad, r arm, 7thH                     Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with delayed healing
47614 S52364J 1 Nondisp seg fx shaft of rad, r arm, 7thJ                     Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
47615 S52364K 1 Nondisp seg fx shaft of rad, r arm, 7thK                     Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for closed fracture with nonunion
47616 S52364M 1 Nondisp seg fx shaft of rad, r arm, 7thM                     Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with nonunion
47617 S52364N 1 Nondisp seg fx shaft of rad, r arm, 7thN                     Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
47618 S52364P 1 Nondisp seg fx shaft of rad, r arm, 7thP                     Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for closed fracture with malunion
47619 S52364Q 1 Nondisp seg fx shaft of rad, r arm, 7thQ                     Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with malunion
47620 S52364R 1 Nondisp seg fx shaft of rad, r arm, 7thR                     Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
47621 S52364S 1 Nondisp segmental fx shaft of radius, right arm, sequela     Nondisplaced segmental fracture of shaft of radius, right arm, sequela
